~ Source:
~     https://en.wikipedia.org/wiki/List_of_colors:_A-F
~     https://en.wikipedia.org/wiki/List_of_colors:_G-M
~     https://en.wikipedia.org/wiki/List_of_colors:_N-Z
~
name	hex	r	g	b	hue	hsl_sat	hsl_light	hsv_sat	hsv_light
American Brown	#804040	50%	25%	25%	0°	33%	38%	50%	50%
American Gold	#D3AF37	83%	69%	22%	46°	64%	52%	74%	83%
American Green	#34B334	20%	70%	20%	120°	55%	45%	71%	70%
American Orange	#FF8B00	100%	55%	0%	33°	100%	50%	100%	100%
American Pink	#FF9899	100%	60%	60%	359°	100%	80%	40%	100%
American Purple	#431C53	26%	11%	33%	283°	50%	22%	66%	33%
American Red	#B32134	70%	13%	20%	352°	69%	42%	82%	70%
American Rose	#FF033E	100%	1%	24%	346°	100%	51%	99%	100%
American Silver	#CFCFCF	81%	81%	81%	0°	0%	81%	0%	81%
American Violet	#551B8C	33%	11%	55%	271°	68%	33%	81%	55%
American Yellow	#F2B400	95%	71%	0%	180°	100%	48%	100%	95%
Amethyst	#9966CC	60%	40%	80%	270°	50%	60%	50%	80%
Android Green	#A4C639	64%	78%	22%	74°	55%	50%	71%	78%
Anti-Flash White	#F2F3F4	95%	95%	96%	210°	8%	95%	1%	96%
Antique Brass	#CD9575	80%	58%	46%	22°	47%	63%	43%	80%
Antique Bronze	#665D1E	40%	36%	12%	53°	55%	26%	71%	40%
Antique Fuchsia	#915C83	57%	36%	51%	316°	22%	46%	37%	57%
Antique Ruby	#841B2D	52%	11%	18%	350°	66%	31%	80%	52%
Antique White	#FAEBD7	98%	92%	84%	34°	78%	91%	14%	98%
Ao (English)	#008000	0%	50%	0%	120°	100%	25%	100%	50%
Apple	#66B447	40%	71%	28%	104°	43%	49%	61%	71%
Apple Green	#8DB600	55%	71%	0%	74°	100%	36%	100%	71%
Apricot	#FBCEB1	98%	81%	69%	24°	90%	84%	29%	98%
Aqua	#00FFFF	0%	100%	100%	180°	100%	50%	100%	100%
Aquamarine	#7FFFD4	50%	100%	83%	160°	100%	75%	50%	100%
Arctic Lime	#D0FF14	82%	100%	8%	72°	100%	54%	92%	100%
Army Green	#4B5320	29%	33%	13%	69°	44%	23%	61%	33%
Arsenic	#3B444B	23%	27%	29%	206°	12%	26%	21%	29%
Artichoke	#8F9779	56%	59%	47%	76°	13%	53%	20%	59%
Arylide Yellow	#E9D66B	91%	84%	42%	51°	74%	67%	54%	91%
Ash Gray	#B2BEB5	70%	75%	71%	135°	8%	72%	6%	75%
Asparagus	#87A96B	53%	66%	42%	93°	26%	54%	37%	66%
Ateneo Blue	#003A6C	0%	23%	42%	208°	100%	21%	100%	42%
Atomic Tangerine	#FF9966	100%	60%	40%	20°	100%	70%	60%	100%
Auburn	#A52A2A	65%	16%	16%	0°	59%	41%	75%	65%
Aureolin	#FDEE00	99%	93%	0%	56°	100%	50%	100%	99%
AuroMetalSaurus	#6E7F80	43%	50%	50%	183°	8%	47%	14%	50%
Avocado	#568203	34%	51%	1%	81°	95%	26%	98%	51%
Awesome	#FF2052	100%	13%	32%	347°	95%	56%	98%	51%
Axolotl	#63775B	39%	47%	36%	103°	95%	41%	24%	47%
Aztec Gold	#C39953	76%	60%	33%	38°	48%	55%	57%	77%
Azure	#007FFF	0%	50%	100%	210°	100%	50%	100%	100%
Azure (Web Color)	#F0FFFF	94%	100%	100%	180°	100%	97%	6%	100%
Azure Mist	#F0FFFF	94%	100%	100%	180°	100%	97%	6%	100%
Azureish White	#DBE9F4	86%	91%	96%	206°	53%	91%	10%	96%
Baby Blue	#89CFF0	54%	81%	94%	199°	77%	74%	43%	94%
Baby Blue Eyes	#A1CAF1	63%	79%	95%	209°	74%	79%	33%	95%
Baby Pink	#F4C2C2	96%	76%	76%	0°	69%	86%	20%	96%
Baby Powder	#FEFEFA	100%	100%	98%	60°	67%	99%	2%	100%
Baker-Miller Pink	#FF91AF	100%	57%	69%	344°	100%	78%	43%	100%
Ball Blue	#21ABCD	13%	67%	80%	192°	72%	47%	84%	80%
Banana Mania	#FAE7B5	98%	91%	71%	43°	87%	85%	28%	98%
Banana Yellow	#FFE135	100%	88%	21%	51°	100%	60%	79%	100%
Bangladesh Green	#006A4E	0%	42%	31%	164°	100%	21%	100%	42%
Barbie Pink	#E0218A	88%	13%	54%	327°	75%	50%	85%	88%
Barn Red	#7C0A02	49%	4%	1%	4°	97%	25%	98%	49%
Battery Charged Blue	#1DACD6	11%	67%	84%	194°	76%	48%	86%	84%
Battleship Grey	#848482	52%	52%	51%	60°	1%	51%	2%	52%
Bazaar	#98777B	60%	47%	48%	353°	14%	53%	22%	60%
Beau Blue	#BCD4E6	74%	83%	90%	206°	46%	82%	18%	90%
Beaver	#9F8170	62%	51%	44%	22°	20%	53%	30%	62%
Begonia	#FA6E79	98%	43%	47%	355°	93%	71%	10%	96%
Beige	#F5F5DC	96%	96%	86%	60°	56%	91%	10%	96%
B'dazzled Blue	#2E5894	18%	35%	58%	215°	53%	38%	69%	58%
Big Dip O’ruby	#9C2542	61%	15%	26%	345°	62%	38%	76%	61%
Big Foot Feet	#E88E5A	91%	56%	35%	22°	76%	63%	61%	91%
Bisque	#FFE4C4	100%	89%	77%	33°	100%	88%	23%	100%
Bistre	#3D2B1F	24%	17%	12%	24°	33%	18%	49%	24%
Bistre Brown	#967117	59%	44%	9%	43°	73%	34%	85%	59%
Bitter Lemon	#CAE00D	79%	88%	5%	66°	89%	46%	94%	88%
Bitter Lime	#BFFF00	75%	100%	0%	75°	100%	50%	100%	100%
Bittersweet	#FE6F5E	100%	44%	37%	6°	99%	68%	63%	100%
Bittersweet Shimmer	#BF4F51	75%	31%	32%	359°	47%	53%	59%	75%
Black	#000000	0%	0%	0%	0°	0%	0%	0%	0%
Black Bean	#3D0C02	24%	5%	1%	10°	94%	12%	97%	24%
Black Chocolate	#1B1811	11%	9%	7%	42°	23%	9%	37%	11%
Black Coffee	#3B2F2F	23%	18%	18%	0°	11%	21%	20%	23%
Black Coral	#54626F	33%	38%	44%	209°	14%	38%	24%	44%
Black Leather Jacket	#253529	15%	21%	16%	135°	18%	18%	30%	21%
Black Olive	#3B3C36	23%	24%	21%	70°	5%	22%	10%	24%
Blackberry	#8F5973	56%	35%	45%	331°	23%	46%	38%	56%
Black Shadows	#BFAFB2	75%	69%	70%	349°	11%	72%	8%	75%
Blanched Almond	#FFEBCD	100%	92%	80%	36°	100%	90%	20%	100%
Blast-Off Bronze	#A57164	65%	44%	39%	12°	27%	52%	39%	65%
Bleu De France	#318CE7	19%	55%	91%	210°	79%	55%	79%	91%
Blizzard Blue	#ACE5EE	67%	90%	93%	188°	66%	80%	28%	93%
Blond	#FAF0BE	98%	94%	75%	50°	86%	86%	24%	98%
Blood Orange	#D1001C	82%	0%	11%	352°	100%	41%	100%	82%
Blood Red	#660000	40%	0%	0%	0°	100%	20%	100%	40%
Blue	#0000FF	0%	0%	100%	240°	100%	50%	100%	100%
Blue (Crayola)	#1F75FE	12%	46%	100%	217°	99%	56%	88%	100%
Blue (Munsell)	#0093AF	0%	58%	69%	190°	100%	34%	100%	69%
Blue (NCS)	#0087BD	0%	53%	74%	197°	100%	37%	100%	74%
Blue (Pantone)	#0018A8	0%	9%	66%	231°	100%	33%	100%	66%
Blue (Pigment)	#333399	20%	20%	60%	240°	50%	40%	67%	60%
Blue (RYB)	#0247FE	1%	28%	100%	224°	99%	50%	99%	100%
Blue Bell	#A2A2D0	64%	64%	82%	240°	33%	73%	22%	82%
Blue Bolt	#00B9FB	0%	73%	98%	196°	100%	49%	100%	98%
Blue-Gray	#6699CC	40%	60%	80%	210°	50%	60%	50%	80%
Blue-Green	#0D98BA	5%	60%	73%	192°	87%	39%	93%	73%
Blue Jeans	#5DADEC	36%	68%	93%	206°	79%	65%	61%	93%
Blue Lagoon	#ACE5EE	67%	90%	93%	188°	66%	80%	28%	93%
Blue-Magenta Violet	#553592	33%	21%	57%	261°	47%	39%	64%	57%
Blue Sapphire	#126180	7%	38%	50%	197°	75%	29%	86%	50%
Blue-Violet	#8A2BE2	54%	17%	89%	271°	76%	53%	81%	89%
Blue Yonder	#5072A7	31%	45%	65%	217°	35%	48%	52%	65%
Blueberry	#4F86F7	31%	53%	97%	220°	91%	64%	68%	97%
Bluebonnet	#1C1CF0	11%	11%	94%	240°	88%	53%	88%	94%
Blush	#DE5D83	87%	36%	51%	342°	66%	62%	58%	87%
Bole	#79443B	47%	27%	23%	9°	34%	35%	51%	47%
Bondi Blue	#0095B6	0%	58%	71%	191°	100%	36%	100%	71%
Bone	#E3DAC9	89%	85%	79%	39°	32%	84%	11%	89%
Booger Buster	#DDE26A	87%	89%	42%	63°	67%	65%	53%	89%
Boston University Red	#CC0000	80%	0%	0%	0°	100%	40%	100%	80%
Bottle Green	#006A4E	0%	42%	31%	164°	100%	21%	100%	42%
Boysenberry	#873260	53%	20%	38%	328°	46%	36%	63%	53%
Brandeis Blue	#0070FF	0%	44%	100%	214°	100%	50%	100%	100%
Brass	#B5A642	71%	65%	26%	52°	47%	48%	64%	71%
Brick Red	#CB4154	80%	25%	33%	352°	57%	53%	68%	80%
Bright Cerulean	#1DACD6	11%	67%	84%	194°	76%	48%	86%	84%
Bright Gray	#EBECF0	92%	93%	94%	228°	14%	93%	2%	94%
Bright Green	#66FF00	40%	100%	0%	96°	100%	50%	100%	100%
Bright Lavender	#BF94E4	75%	58%	89%	272°	60%	74%	35%	89%
Bright Lilac	#D891EF	85%	57%	94%	285°	75%	75%	39%	94%
Bright Maroon	#C32148	76%	13%	28%	346°	71%	45%	83%	76%
Bright Navy Blue	#1974D2	10%	45%	82%	210°	79%	46%	88%	82%
Bright Pink	#FF007F	100%	0%	50%	330°	100%	50%	100%	100%
Bright Turquoise	#08E8DE	3%	91%	87%	177°	93%	47%	97%	91%
Bright Ube	#D19FE8	82%	62%	91%	281°	61%	77%	31%	91%
Bright Yellow (Crayola)	#FFAA1D	100%	67%	11%	37°	100%	56%	89%	100%
Brilliant Azure	#3399FF	20%	60%	100%	210°	100%	60%	80%	100%
Brilliant Lavender	#F4BBFF	96%	73%	100%	290°	100%	87%	27%	100%
Brilliant Rose	#FF55A3	100%	33%	64%	332°	100%	67%	67%	100%
Brink Pink	#FB607F	98%	38%	50%	348°	95%	68%	62%	98%
British Racing Green	#004225	0%	26%	15%	154°	100%	13%	100%	26%
Bronze	#88540B	53%	33%	4%	35°	85%	29%	92%	53%
Bronze	#CD7F32	80%	50%	20%	30°	61%	50%	76%	80%
Bronze (Metallic)	#B08D57	69%	55%	34%	36°	36%	51%	51%	69%
Bronze Yellow	#737000	45%	44%	0%	58°	100%	23%	100%	45%
Brown	#993300	60%	20%	0%	20°	100%	30%	100%	60%
Brown (Crayola)	#AF593E	69%	35%	24%	14°	48%	47%	65%	69%
Brown (Traditional)	#964B00	59%	29%	0%	30°	100%	29%	100%	59%
Brown (Web)	#A52A2A	65%	16%	16%	0°	59%	41%	75%	65%
Brown-Nose	#6B4423	42%	27%	14%	28°	51%	28%	67%	42%
Brown Sugar	#AF6E4D	69%	43%	30%	20°	39%	49%	56%	69%
Brown Chocolate	#5F1933	37%	10%	20%	338°	58%	24%	74%	37%
Brown Coffee	#4A2C2A	29%	17%	16%	4°	28%	23%	43%	29%
Brown Yellow	#CC9966	80%	60%	40%	30°	50%	60%	50%	80%
Brunswick Green	#1B4D3E	11%	30%	24%	162°	48%	20%	65%	30%
Bubble Gum	#FFC1CC	100%	76%	80%	349°	100%	88%	24%	100%
Bubbles	#E7FEFF	91%	100%	100%	183°	100%	95%	9%	100%
Bud Green	#7BB661	48%	71%	38%	102°	37%	55%	47%	71%
Buff	#F0DC82	94%	86%	51%	49°	79%	73%	46%	94%
Bulgarian Rose	#480607	28%	2%	3%	359°	85%	15%	92%	28%
Burgundy	#800020	50%	0%	13%	345°	100%	25%	100%	50%
Burlywood	#DEB887	87%	72%	53%	34°	57%	70%	39%	87%
Burnished Brown	#A17A74	63%	48%	45%	8°	19%	54%	28%	63%
Burnt Orange	#CC5500	80%	33%	0%	25°	100%	40%	100%	80%
Burnt Sienna	#E97451	91%	45%	32%	14°	78%	62%	65%	91%
Burnt Umber	#8A3324	54%	20%	14%	9°	59%	34%	74%	54%
Button Blue	#24A0ED	14%	63%	93%	203°	85%	54%	83%	93%
Byzantine	#BD33A4	74%	20%	64%	311°	58%	47%	73%	74%
Byzantium	#702963	44%	16%	39%	311°	46%	30%	63%	44%
Cadet	#536872	33%	41%	45%	199°	16%	39%	27%	45%
Cadet Blue	#5F9EA0	37%	62%	63%	182°	25%	50%	41%	63%
Cadet Grey	#91A3B0	57%	64%	69%	205°	16%	63%	18%	69%
Cadmium Blue	#0A1195	4%	7%	57%	237°	87%	31%	93%	85%
Cadmium Green	#006B3C	0%	42%	24%	154°	100%	21%	100%	42%
Cadmium Orange	#ED872D	93%	53%	18%	28°	84%	55%	81%	93%
Cadmium Purple	#B60C26	71%	5%	15%	351°	88%	38%	93%	71%
Cadmium Red	#E30022	89%	0%	13%	351°	100%	45%	100%	89%
Cadmium Yellow	#FFF600	100%	96%	0%	58°	100%	50%	100%	100%
Cadmium Violet	#7F3E98	50%	24%	60%	283°	42%	42%	59%	60%
Café Au Lait	#A67B5B	65%	48%	36%	26°	30%	50%	45%	65%
Café Noir	#4B3621	29%	21%	13%	30°	39%	21%	56%	29%
Cal Poly Pomona Green	#1E4D2B	12%	30%	17%	137°	44%	21%	61%	30%
Calamansi	#FCFFA4	99%	100%	64%	62°	100%	82%	36%	100%
Cambridge Blue	#A3C1AD	64%	76%	68%	140°	19%	70%	16%	76%
Camel	#C19A6B	76%	60%	42%	33°	41%	59%	45%	76%
Cameo Pink	#EFBBCC	94%	73%	80%	340°	62%	84%	22%	94%
Camouflage Green	#78866B	47%	53%	42%	91°	11%	47%	20%	53%
Canary	#FFFF99	100%	100%	60%	60°	100%	80%	40%	100%
Canary Yellow	#FFEF00	100%	94%	0%	56°	100%	50%	100%	100%
Candy Apple Red	#FF0800	100%	3%	0%	2°	100%	50%	100%	100%
Candy Pink	#E4717A	89%	44%	48%	355°	68%	67%	50%	89%
Capri	#00BFFF	0%	75%	100%	195°	100%	50%	100%	100%
Caput Mortuum	#592720	35%	15%	13%	7°	47%	24%	64%	35%
Caramel	#FFD59A	100%	84%	60%	35°	100%	80%	40%	100%
Cardinal	#C41E3A	77%	12%	23%	350°	74%	44%	85%	77%
Caribbean Green	#00CC99	0%	80%	60%	165°	100%	40%	100%	80%
Carmine	#960018	59%	0%	9%	350°	100%	29%	100%	59%
Carmine (M&P)	#D70040	84%	0%	25%	342°	100%	42%	100%	84%
Carmine Pink	#EB4C42	92%	30%	26%	4°	81%	59%	72%	92%
Carmine Red	#FF0038	100%	0%	22%	347°	100%	50%	100%	100%
Carnation Pink	#FFA6C9	100%	65%	79%	336°	100%	83%	35%	100%
Carnelian	#B31B1B	70%	11%	11%	0°	74%	40%	85%	70%
Carolina Blue	#56A0D3	34%	63%	83%	204°	59%	58%	59%	83%
Carrot Orange	#ED9121	93%	57%	13%	33°	85%	53%	86%	93%
Castleton Green	#00563F	0%	34%	25%	164°	100%	17%	100%	34%
Catalina Blue	#062A78	2%	16%	47%	221°	90%	25%	95%	47%
Catawba	#703642	44%	21%	26%	348°	35%	33%	52%	44%
Cedar Chest	#C95A49	79%	35%	29%	8°	54%	54%	64%	79%
Ceil	#92A1CF	57%	63%	81%	225°	39%	69%	29%	81%
Celadon	#ACE1AF	67%	88%	69%	123°	47%	78%	24%	88%
Celadon Blue	#007BA7	0%	48%	65%	196°	100%	33%	100%	65%
Celadon Green	#2F847C	18%	52%	49%	174°	47%	35%	64%	52%
Celeste	#B2FFFF	70%	100%	100%	180°	100%	85%	30%	100%
Celestial Blue	#4997D0	29%	59%	82%	205°	59%	55%	65%	82%
Celtic Blue	#246BCE	14%	42%	81%	215°	70%	48%	83%	81%
Cerise	#DE3163	87%	19%	39%	343°	72%	53%	78%	87%
Cerise Pink	#EC3B83	93%	23%	51%	336°	82%	58%	75%	93%
Cerulean	#007BA7	0%	48%	65%	196°	100%	33%	100%	65%
Cerulean Blue	#2A52BE	16%	32%	75%	224°	64%	45%	78%	75%
Cerulean Frost	#6D9BC3	43%	61%	76%	208°	42%	60%	44%	76%
CG Blue	#007AA5	0%	48%	65%	196°	100%	32%	100%	65%
CG Red	#E03C31	88%	24%	19%	4°	74%	54%	78%	88%
Chamoisee	#A0785A	63%	47%	35%	26°	28%	49%	44%	63%
Champagne	#F7E7CE	97%	91%	81%	37°	72%	89%	17%	97%
Champagne Pink	#F1DDCF	95%	87%	81%	25°	55%	88%	14%	95%
Charcoal	#36454F	21%	27%	31%	204°	19%	26%	32%	31%
Charleston Green	#232B2B	14%	17%	17%	180°	10%	15%	19%	17%
Charm	#D0748B	82%	45%	55%	345°	50%	64%	44%	82%
Charm Pink	#E68FAC	90%	56%	67%	340°	64%	73%	38%	90%
Chartreuse (Traditional)	#DFFF00	87%	100%	0%	68°	100%	50%	100%	100%
Chartreuse (Web)	#7FFF00	50%	100%	0%	90°	100%	50%	100%	100%
Cheese	#FFA600	100%	65%	0%	39°	100%	50%	100%	100%
Cherry	#DE3163	87%	19%	39%	343°	72%	53%	78%	87%
Cherry Blossom Pink	#FFB7C5	100%	72%	77%	348°	100%	86%	28%	100%
Chestnut	#954535	58%	27%	21%	10°	48%	40%	64%	58%
China Pink	#DE6FA1	87%	44%	63%	333°	63%	65%	50%	87%
China Rose	#A8516E	66%	32%	43%	340°	35%	49%	52%	66%
Chinese Black	#141414	8%	8%	8%	0°	0%	8%	0%	8%
Chinese Blue	#365194	21%	32%	58%	223°	47%	40%	64%	58%
Chinese Bronze	#CD8032	80%	50%	20%	30°	61%	50%	76%	80%
Chinese Brown	#AB381F	67%	22%	12%	11°	70%	39%	82%	67%
Chinese Green	#D0DB61	82%	86%	38%	65°	63%	62%	56%	86%
Chinese Gold	#CC9900	80%	60%	0%	45°	100%	40%	100%	80%
Chinese Orange	#F37042	95%	44%	26%	16°	88%	61%	73%	95%
Chinese Pink	#DE70A1	87%	44%	63%	333°	63%	66%	50%	87%
Chinese Purple	#720B98	45%	4%	60%	284°	87%	32%	93%	60%
Chinese Red	#CD071E	80%	3%	12%	353°	93%	42%	97%	80%
Chinese Red	#AA381E	67%	22%	12%	11°	70%	39%	82%	67%
Chinese Silver	#CCCCCC	80%	80%	80%	0°	0%	80%	0%	80%
Chinese Violet	#856088	52%	38%	53%	296°	17%	45%	29%	53%
Chinese White	#E2E5DE	89%	90%	87%	86°	12%	88%	3%	90%
Chinese Yellow	#FFB200	100%	70%	0%	42°	100%	50%	100%	100%
Chlorophyll Green	#4AFF00	29%	100%	0%	103°	100%	50%	100%	100%
Chocolate Cosmos	#58111a	35%	7%	10%	352°	68%	21%	80%	34%
Chocolate Kisses	#3C1421	24%	8%	13%	341°	50%	16%	67%	33%
Chocolate (Traditional)	#7B3F00	48%	25%	0%	31°	100%	24%	100%	48%
Chocolate (Web)	#D2691E	82%	41%	12%	25°	75%	47%	86%	82%
Christmas Blue	#2A8FBD	16%	56%	74%	199°	64%	45%	78%	74%
Christmas Blue	#365194	21%	32%	58%	223°	47%	40%	64%	58%
Christmas Brown	#5D2B2C	36%	17%	17%	359°	37%	27%	54%	36%
Christmas Brown	#4C1F02	30%	12%	1%	24°	95%	15%	24%	30%
Christmas Green	#3C8D0D	24%	55%	5%	98°	83%	30%	91%	55%
Christmas Green	#007502	0%	46%	1%	158°	100%	23%	100%	46%
Christmas Gold	#CAA906	79%	66%	2%	50°	94%	41%	97%	79%
Christmas Orange	#FF6600	100%	40%	0%	24°	100%	50%	100%	100%
Christmas Orange	#D56C2B	84%	42%	17%	23°	67%	50%	80%	84%
Christmas Pink	#FFCCCB	100%	80%	80%	1°	100%	90%	20%	100%
Christmas Pink	#E34285	89%	26%	52%	335°	74%	58%	71%	89%
Christmas Purple	#663398	40%	20%	60%	270°	50%	40%	66%	60%
Christmas Purple	#4D084B	30%	3%	30%	302°	81%	17%	90%	30%
Christmas Red	#AA0114	67%	0%	8%	353°	99%	34%	99%	67%
Christmas Red	#B01B2E	69%	11%	18%	352°	73%	40%	85%	69%
Christmas Silver	#E1DFE0	88%	87%	88%	330°	3%	88%	1%	88%
Christmas Yellow	#FFCC00	100%	80%	0%	48°	100%	50%	100%	100%
Christmas Yellow	#FEF200	100%	95%	0%	57°	100%	50%	100%	100%
Chrome Yellow	#FFA700	100%	65%	0%	39°	100%	50%	100%	100%
Cinereous	#98817B	60%	51%	48%	12°	12%	54%	19%	60%
Cinnabar	#E34234	89%	26%	20%	5°	76%	55%	77%	89%
Cinnamon[Citation Needed]	#D2691E	82%	41%	12%	25°	75%	47%	86%	82%
Cinnamon Satin	#CD607E	80%	38%	49%	343°	52%	59%	53%	80%
Citrine	#E4D00A	89%	82%	4%	54°	92%	47%	96%	89%
Citrine Brown	#933709	58%	22%	4%	20°	89%	31%	94%	58%
Citron	#9FA91F	62%	66%	12%	64°	69%	39%	82%	66%
Claret	#7F1734	50%	9%	20%	343°	69%	29%	82%	50%
Classic Rose	#FBCCE7	98%	80%	91%	326°	85%	89%	19%	98%
Cobalt Blue	#0047AB	0%	28%	67%	215°	100%	34%	100%	67%
Cocoa Brown	#D2691E	82%	41%	12%	25°	75%	47%	86%	82%
Coconut	#965A3E	59%	35%	24%	19°	42%	42%	59%	59%
Coffee	#6F4E37	44%	31%	22%	25°	34%	33%	50%	44%
Cola	#3C3024	24%	19%	14%	30°	25%	19%	40%	24%
Columbia Blue	#C4D8E2	77%	85%	89%	200°	34%	83%	13%	89%
Conditioner	#FFFFCC	100%	100%	80%	60°	100%	90%	20%	100%
Congo Pink	#F88379	97%	51%	47%	5°	90%	72%	51%	97%
Cool Black	#002E63	0%	18%	39%	212°	100%	19%	100%	38%
Cool Grey	#8C92AC	55%	57%	67%	229°	16%	61%	19%	67%
Cookies And Cream	#EEE0B1	93%	88%	69%	46°	64%	81%	26%	93%
Copper	#B87333	72%	45%	20%	29°	57%	46%	72%	72%
Copper (Crayola)	#DA8A67	85%	54%	40%	18°	61%	63%	53%	85%
Copper Penny	#AD6F69	68%	44%	41%	5°	29%	55%	39%	68%
Copper Red	#CB6D51	80%	43%	32%	14°	54%	56%	60%	80%
Copper Rose	#996666	60%	40%	40%	0°	20%	50%	33%	60%
Coquelicot	#FF3800	100%	22%	0%	13°	100%	50%	100%	100%
Coral	#FF7F50	100%	50%	31%	16°	100%	66%	69%	100%
Coral Pink	#F88379	97%	51%	47%	5°	90%	72%	51%	97%
Coral Red	#FF4040	100%	25%	25%	0°	100%	63%	75%	100%
Coral Reef	#FD7C6E	99%	49%	43%	6°	97%	71%	57%	99%
Cordovan	#893F45	54%	25%	27%	355°	37%	39%	54%	54%
Corn	#FBEC5D	98%	93%	36%	54°	95%	67%	63%	98%
Cornell Red	#B31B1B	70%	11%	11%	0°	74%	40%	85%	70%
Cornflower Blue	#6495ED	39%	58%	93%	219°	79%	66%	58%	93%
Cornsilk	#FFF8DC	100%	97%	86%	48°	100%	93%	14%	100%
Cosmic Cobalt	#2E2D88	18%	18%	53%	241°	50%	36%	67%	53%
Cosmic Latte	#FFF8E7	100%	97%	91%	43°	100%	95%	9%	100%
Coyote Brown	#81613C	51%	38%	24%	62°	37%	37%	52%	51%
Cotton Candy	#FFBCD9	100%	74%	85%	334°	100%	87%	26%	100%
Cream	#FFFDD0	100%	99%	82%	57°	100%	91%	18%	100%
Crimson	#DC143C	86%	8%	24%	348°	83%	47%	91%	86%
Crimson Glory	#BE0032	75%	0%	20%	344°	100%	37%	100%	75%
Crimson Red	#990000	60%	0%	0%	0°	100%	30%	100%	60%
Cultured	#F5F5F5	96%	96%	96%	0°	0%	96%	0%	96%
Cyan	#00FFFF	0%	100%	100%	180°	100%	50%	100%	100%
Cyan Azure	#4E82B4	31%	51%	71%	209°	41%	51%	57%	71%
Cyan-Blue Azure	#4682BF	27%	51%	75%	210°	49%	51%	63%	75%
Cyan Cobalt Blue	#28589C	16%	35%	61%	215°	59%	38%	74%	61%
Cyan Cornflower Blue	#188BC2	9%	55%	76%	199°	78%	43%	88%	76%
Cyan (Process)	#00B7EB	0%	72%	92%	193°	100%	46%	100%	92%
Cyber Grape	#58427C	35%	26%	49%	263°	31%	37%	47%	49%
Cyber Yellow	#FFD300	100%	83%	0%	50°	100%	50%	100%	100%
Cyclamen	#F56FA1	96%	44%	63%	338°	87%	70%	54%	96%
Daffodil	#FFFF31	100%	100%	19%	60°	100%	60%	81%	100%
Dandelion	#F0E130	94%	88%	19%	55°	86%	56%	80%	94%
Dark Blue	#00008B	0%	0%	55%	240°	100%	27%	100%	55%
Dark Blue-Gray	#666699	40%	40%	60%	240°	20%	50%	33%	60%
Dark Bronze	#804A00	50%	29%	0%	100°	100%	25%	76%	50%
Dark Brown	#654321	40%	26%	13%	30°	51%	26%	67%	40%
Dark Brown-Tangelo	#88654E	53%	40%	31%	24°	27%	42%	43%	53%
Dark Byzantium	#5D3954	36%	22%	33%	315°	24%	29%	39%	36%
Dark Candy Apple Red	#A40000	64%	0%	0%	0°	100%	32%	100%	64%
Dark Cerulean	#08457E	3%	27%	49%	209°	88%	26%	94%	49%
Dark Charcoal	#333333	20%	20%	20%	0°	0%	20%	0%	20%
Dark Chestnut	#986960	60%	41%	38%	10°	23%	49%	37%	60%
Dark Chocolate	#490206	29%	1%	2%	358°	95%	15%	97%	29%
Dark Chocolate (Hershey's)	#3C1321	24%	7%	13%	340°	52%	16%	68%	24%
