~ Source:
~     https://en.wikipedia.org/wiki/List_of_colors:_A-F
~     https://en.wikipedia.org/wiki/List_of_colors:_G-M
~     https://en.wikipedia.org/wiki/List_of_colors:_N-Z
~
name	hex	r	g	b	hue	hsl_sat	hsl_light	hsv_sat	hsv_light
Princess Perfume	#FF85CF	100%	52%	81%	324°	100%	76%	48%	100%
Princeton Orange	#F58025	96%	50%	15%	26°	91%	55%	85%	96%
Prune	#701C1C	44%	11%	11%	0°	60%	27%	75%	44%
Prussian Blue	#003153	0%	19%	33%	205°	100%	16%	100%	33%
Psychedelic Purple	#DF00FF	87%	0%	100%	292°	100%	50%	100%	100%
Puce	#CC8899	80%	53%	60%	345°	40%	67%	33%	80%
Puce Red	#722F37	45%	18%	22%	353°	42%	32%	59%	45%
Pullman Brown (UPS Brown)	#644117	39%	25%	9%	33°	63%	24%	77%	39%
Pullman Green	#3B331C	23%	20%	11%	45°	36%	17%	36%	59%
Pumpkin	#FF7518	100%	46%	9%	24°	100%	55%	91%	100%
Purple (HTML)	#800080	50%	0%	50%	300°	100%	25%	100%	50%
Purple (Munsell)	#9F00C5	62%	0%	77%	288°	100%	39%	100%	77%
Purple (X11)	#A020F0	63%	13%	94%	277°	87%	53%	87%	94%
Purple Heart	#69359C	41%	21%	61%	270°	49%	41%	66%	61%
Purple Mountain Majesty	#9678B6	59%	47%	71%	269°	30%	59%	34%	71%
Purple Navy	#4E5180	31%	32%	50%	236°	24%	40%	39%	50%
Purple Pizzazz	#FE4EDA	100%	31%	85%	312°	99%	65%	69%	100%
Purple Plum	#9C51B6	61%	32%	71%	285°	41%	52%	56%	71%
Purple Taupe	#50404D	31%	25%	30%	311°	11%	28%	20%	31%
Purpureus	#9A4EAE	60%	31%	68%	288°	38%	49%	55%	68%
Quartz	#51484F	32%	28%	31%	313°	6%	30%	11%	32%
Queen Blue	#436B95	26%	42%	58%	211°	38%	42%	55%	58%
Queen Pink	#E8CCD7	91%	80%	84%	336°	38%	85%	12%	91%
Quick Silver	#A6A6A6	65%	65%	65%	0°	0%	65%	0%	65%
Quinacridone Magenta	#8E3A59	56%	23%	35%	338°	42%	39%	59%	56%
Quincy	#6A5445	42%	33%	27%	24°	21%	34%	35%	42%
Rackley	#5D8AA8	36%	54%	66%	204°	30%	51%	45%	66%
Radical Red	#FF355E	100%	21%	37%	348°	100%	60%	79%	100%
Raisin Black	#242124	14%	13%	14%	300°	4%	14%	8%	14%
Rajah	#FBAB60	98%	67%	38%	29°	95%	68%	62%	98%
Raspberry	#E30B5D	89%	4%	36%	337°	91%	47%	95%	89%
Raspberry Glace	#915F6D	57%	37%	43%	343°	21%	47%	34%	57%
Raspberry Pink	#E25098	89%	31%	60%	330°	72%	60%	65%	89%
Raspberry Rose	#B3446C	70%	27%	42%	338°	45%	48%	62%	70%
Raw Sienna	#D68A59	84%	54%	35%	24°	60%	59%	58%	84%
Raw Umber	#826644	51%	40%	27%	33°	31%	39%	48%	51%
Razzle Dazzle Rose	#FF33CC	100%	20%	80%	315°	100%	60%	80%	100%
Razzmatazz	#E3256B	89%	15%	42%	338°	77%	52%	84%	89%
Razzmic Berry	#8D4E85	55%	31%	52%	308°	29%	43%	45%	55%
Rebecca Purple	#663399	40%	20%	60%	270°	49%	40%	67%	60%
Red	#FF0000	100%	0%	0%	0°	100%	50%	100%	100%
Red (Crayola)	#EE204D	93%	13%	30%	347°	86%	53%	87%	93%
Red (Munsell)	#F2003C	95%	0%	24%	345°	100%	47%	100%	95%
Red (NCS)	#C40233	77%	1%	20%	345°	98%	39%	99%	77%
Red (Pantone)	#ED2939	93%	16%	22%	355°	84%	55%	83%	93%
Red (Pigment)	#ED1C24	93%	11%	14%	358°	85%	52%	88%	93%
Red (RYB)	#FE2712	100%	15%	7%	5°	99%	53%	93%	100%
Red-Brown	#A52A2A	65%	16%	16%	0°	59%	41%	75%	65%
Red Devil	#860111	53%	0%	7%	353°	99%	26%	99%	53%
Red-Orange	#FF5349	100%	33%	29%	3°	100%	64%	71%	100%
Red-Purple	#E40078	89%	0%	47%	328°	100%	45%	100%	89%
Red Salsa	#FD3A4A	99%	23%	29%	355°	98%	61%	77%	99%
Red-Violet	#C71585	78%	8%	52%	322°	81%	43%	89%	78%
Redwood	#A45A52	64%	35%	32%	6°	33%	48%	50%	64%
Regalia	#522D80	32%	18%	50%	267°	48%	34%	65%	50%
Registration Black	#000000	0%	0%	0%	—°	0%	0%	0%	0%
Resolution Blue	#002387	0%	14%	53%	224°	100%	26%	100%	53%
Rhythm	#777696	47%	46%	59%	242°	13%	53%	21%	59%
Rich Black	#004040	0%	25%	25%	180°	100%	13%	100%	25%
Rich Black (FOGRA29)	#010B13	0%	4%	7%	207°	90%	4%	95%	8%
Rich Black (FOGRA39)	#010203	0%	1%	1%	210°	50%	1%	67%	1%
Rich Brilliant Lavender	#F1A7FE	95%	65%	100%	291°	98%	83%	34%	100%
Rich Carmine	#D70040	84%	0%	25%	342°	100%	42%	100%	84%
Rich Electric Blue	#0892D0	3%	57%	82%	199°	93%	42%	96%	82%
Rich Lavender	#A76BCF	65%	42%	81%	276°	51%	62%	48%	81%
Rich Lilac	#B666D2	71%	40%	82%	284°	55%	61%	51%	82%
Rich Maroon	#B03060	69%	19%	38%	338°	57%	44%	73%	69%
Rifle Green	#444C38	27%	30%	22%	84°	15%	26%	26%	30%
Roast Coffee	#704241	44%	26%	25%	1°	27%	35%	42%	44%
Robin Egg Blue	#00CCCC	0%	80%	80%	180°	100%	40%	100%	80%
Rocket Metallic	#8A7F80	54%	50%	50%	355°	4%	52%	8%	54%
Roman Silver	#838996	51%	54%	59%	221°	8%	55%	13%	59%
Root Beer	#290E05	16%	5%	2%	15°	78%	9%	88%	16%
Rose	#FF007F	100%	0%	50%	330°	100%	50%	100%	100%
Rose Bonbon	#F9429E	98%	26%	62%	330°	94%	62%	73%	98%
Rose Dust	#9E5E6F	62%	37%	44%	344°	25%	49%	41%	62%
Rose Ebony	#674846	40%	28%	27%	4°	19%	34%	32%	40%
Rose Garnet	#960145	59%	0%	27%	333°	99%	30%	99%	59%
Rose Gold	#B76E79	72%	43%	47%	351°	34%	57%	40%	72%
Rose Madder	#E32636	89%	15%	21%	355°	77%	52%	83%	89%
Rose Pink	#FF66CC	100%	40%	80%	320°	100%	70%	60%	100%
Rose Quartz	#AA98A9	67%	60%	66%	303°	10%	63%	11%	67%
Rose Quartz Pink	#BD559C	74%	33%	61%	319°	44%	54%	55%	74%
Rose Red	#C21E56	76%	12%	34%	340°	73%	44%	85%	76%
Rose Taupe	#905D5D	56%	36%	36%	0°	22%	46%	35%	56%
Rose Vale	#AB4E52	67%	31%	32%	357°	37%	49%	54%	67%
Rosewood	#65000B	40%	0%	4%	353°	100%	20%	100%	40%
Rosso Corsa	#D40000	83%	0%	0%	0°	100%	42%	100%	83%
Rosy Brown	#BC8F8F	74%	56%	56%	0°	25%	65%	24%	74%
Royal Azure	#0038A8	0%	22%	66%	220°	100%	33%	100%	66%
Royal Blue	#002366	0%	14%	40%	219°	100%	20%	100%	40%
Royal Blue	#4169E1	25%	41%	88%	225°	73%	57%	71%	88%
Royal Brown	#523B35	32%	23%	21%	12°	22%	27%	35%	32%
Royal Fuchsia	#CA2C92	79%	17%	57%	321°	64%	48%	78%	79%
Royal Green	#136207	7%	38%	3%	112°	87%	21%	93%	38%
Royal Orange	#F99245	98%	57%	27%	26°	94%	62%	72%	98%
Royal Pink	#E73895	91%	22%	58%	332°	79%	56%	78%	100%
Royal Red	#9B1C31	61%	11%	19%	350°	69%	36%	82%	61%
Royal Red	#D00060	82%	0%	38%	332°	100%	41%	100%	82%
Royal Purple	#7851A9	47%	32%	66%	267°	35%	49%	52%	66%
Royal Yellow	#FADA5E	98%	85%	37%	48°	94%	67%	62%	98%
Ruber	#CE4676	81%	27%	46%	339°	58%	54%	66%	81%
Rubine Red	#D10056	82%	0%	34%	335°	100%	41%	100%	82%
Ruby	#E0115F	88%	7%	37%	337°	86%	47%	92%	88%
Ruby Red	#9B111E	61%	7%	12%	354°	80%	34%	89%	61%
Ruddy	#FF0028	100%	0%	16%	351°	100%	50%	100%	100%
Ruddy Brown	#BB6528	73%	40%	16%	25°	65%	45%	79%	73%
Ruddy Pink	#E18E96	88%	56%	59%	354°	58%	72%	37%	88%
Rufous	#A81C07	66%	11%	3%	8°	92%	34%	96%	66%
Russet	#80461B	50%	27%	11%	26°	65%	30%	79%	50%
Russian Green	#679267	40%	57%	40%	120°	17%	49%	29%	57%
Russian Violet	#32174D	20%	9%	30%	270°	54%	20%	70%	30%
Rust	#B7410E	72%	25%	5%	18°	86%	39%	92%	72%
Rusty Red	#DA2C43	85%	17%	26%	352°	70%	51%	80%	85%
Sacramento State Green	#043927	2%	22%	15%	160°	87%	12%	93%	22%
Saddle Brown	#8B4513	55%	27%	7%	25°	76%	31%	86%	55%
Safety Orange	#FF7800	100%	47%	0%	28°	100%	50%	100%	100%
Safety Orange (Blaze Orange)	#FF6700	100%	40%	0%	24°	100%	50%	100%	100%
Safety Yellow	#EED202	93%	82%	1%	53°	98%	47%	99%	93%
Saffron	#F4C430	96%	77%	19%	45°	90%	57%	80%	96%
Sage	#BCB88A	74%	72%	54%	55°	27%	64%	27%	74%
St. Patrick's Blue	#23297A	14%	16%	48%	236°	55%	31%	71%	48%
Salem (Color)	#177B4D	9%	48%	30%	152°	69%	29%	81%	48%
Salmon	#FA8072	98%	50%	45%	6°	93%	71%	54%	98%
Salmon Pink	#FF91A4	100%	57%	64%	350°	100%	78%	43%	100%
Sand	#C2B280	76%	70%	50%	45°	35%	63%	34%	76%
Sand Dune	#967117	59%	44%	9%	43°	73%	34%	85%	59%
Sandstorm	#ECD540	93%	84%	25%	52°	82%	59%	73%	93%
Sandy Brown	#F4A460	96%	64%	38%	28°	87%	67%	61%	96%
Sandy Tan	#FDD9B5	99%	85%	71%	30°	95%	85%	28%	99%
Sandy Taupe	#967117	59%	44%	9%	43°	73%	34%	85%	59%
Sangria	#92000A	57%	0%	4%	356°	100%	29%	100%	57%
Sap Green	#507D2A	31%	49%	16%	93°	50%	33%	66%	49%
Sapphire	#0F52BA	6%	32%	73%	216°	85%	39%	92%	73%
Sapphire Blue	#0067A5	0%	40%	65%	203°	100%	32%	100%	65%
Sasquatch Socks	#FF4681	100%	27%	51%	341°	100%	64%	73%	100%
Satin Sheen Gold	#CBA135	80%	63%	21%	43°	59%	50%	74%	80%
Scarlet	#FF2400	100%	14%	0%	8°	100%	50%	100%	100%
Scarlet	#FD0E35	99%	5%	21%	350°	98%	52%	94%	99%
Schauss Pink	#FF91AF	100%	57%	69%	344°	100%	78%	43%	100%
School Bus Yellow	#FFD800	100%	85%	0%	51°	100%	50%	100%	100%
Screamin' Green	#66FF66	40%	100%	40%	120°	100%	70%	60%	100%
Sea Blue	#006994	0%	41%	58%	197°	100%	29%	100%	58%
Sea Foam Green	#9FE2BF	76%	89%	75%	149°	38%	82%	30%	89%
Sea Green	#2E8B57	18%	55%	34%	146°	50%	36%	67%	55%
Sea Green (Crayola)	#00FFCD	0%	100%	80%	168°	100%	50%	100%	100%
Sea Serpent	#4BC7CF	29%	78%	81%	184°	58%	55%	64%	81%
Seal Brown	#59260B	20%	8%	8%	0°	43%	14%	60%	20%
Seashell	#FFF5EE	100%	96%	93%	25°	100%	97%	7%	100%
Selective Yellow	#FFBA00	100%	73%	0%	44°	100%	50%	100%	100%
Sepia	#704214	44%	26%	8%	30°	70%	26%	82%	44%
Shadow	#8A795D	54%	47%	36%	37°	19%	45%	33%	54%
Shadow Blue	#778BA5	47%	55%	65%	214°	20%	56%	28%	65%
Shampoo	#FFCFF1	100%	81%	95%	318°	100%	91%	19%	100%
Shamrock Green	#009E60	0%	62%	38%	156°	100%	31%	100%	62%
Sheen Green	#8FD400	56%	83%	0%	80°	100%	42%	100%	83%
Shimmering Blush	#D98695	85%	53%	58%	349°	52%	69%	38%	85%
Shiny Shamrock	#5FA778	37%	65%	47%	141°	29%	51%	43%	66%
Shocking Pink	#FC0FC0	99%	6%	75%	315°	98%	52%	94%	99%
Shocking Pink (Crayola)	#FF6FFF	100%	44%	100%	300°	100%	72%	56%	100%
Sienna	#882D17	53%	18%	9%	12°	71%	31%	83%	53%
Silver	#C0C0C0	75%	75%	75%	240°	0%	75%	0%	75%
Silver (Crayola)	#C9C0BB	79%	75%	73%	21°	12%	76%	7%	79%
Silver (Metallic)	#AAA9AD	67%	66%	68%	255°	2%	67%	2%	68%
Silver Chalice	#ACACAC	67%	67%	67%	240°	0%	67%	0%	67%
Silver Foil	#AFB1AE	69%	69%	68%	100°	2%	69%	2%	69%
Silver Lake Blue	#5D89BA	36%	54%	73%	212°	40%	55%	50%	73%
Silver Pink	#C4AEAD	77%	68%	68%	3°	16%	72%	12%	77%
Silver Sand	#BFC1C2	75%	76%	76%	200°	2%	75%	2%	76%
Sinopia	#CB410B	80%	25%	4%	17°	90%	42%	95%	80%
Sizzling Red	#FF3855	100%	22%	33%	351°	100%	61%	78%	100%
Sizzling Sunrise	#FFDB00	100%	86%	0%	52°	100%	50%	100%	100%
Skobeloff	#007474	0%	45%	45%	180°	100%	23%	100%	45%
Sky Blue	#87CEEB	53%	81%	92%	197°	71%	73%	43%	92%
Sky Blue (Crayola)	#76D7EA	46%	84%	92%	190°	73%	69%	50%	92%
Sky Magenta	#CF71AF	81%	44%	69%	320°	49%	63%	45%	81%
Slate Blue	#6A5ACD	42%	35%	80%	248°	53%	58%	56%	80%
Slate Gray	#708090	44%	50%	56%	210°	13%	50%	22%	56%
Slimy Green	#299617	16%	59%	9%	111°	73%	34%	85%	59%
Smalt (Dark Powder Blue)	#003399	0%	20%	60%	220°	100%	30%	100%	60%
Smashed Pumpkin	#FF6D3A	100%	43%	23%	16°	100%	61%	77%	100%
Smitten	#C84186	78%	25%	53%	329°	55%	52%	68%	78%
Smoke	#738276	45%	51%	46%	132°	6%	48%	12%	51%
Smokey Topaz	#832A0D	51%	16%	13%	15°	59%	32%	90%	51%
Smoky Black	#100C08	6%	5%	3%	30°	33%	5%	50%	6%
Smoky Topaz	#933D41	58%	24%	25%	357°	41%	41%	59%	58%
Snow	#FFFAFA	100%	98%	98%	0°	100%	99%	2%	76%
Soap	#CEC8EF	81%	78%	94%	249°	55%	86%	16%	94%
Soldier Green	#545A2C	33%	35%	17%	67.8°	34%	26%	51.1%	35.3%
Solid Pink	#893843	54%	22%	26%	352°	42%	38%	59%	54%
Sonic Silver	#757575	46%	46%	46%	—°	0%	46%	0%	46%
Spartan Crimson	#9E1316	62%	7%	9%	359°	79%	35%	88%	62%
Space Cadet	#1D2951	11%	16%	32%	226°	47%	22%	64%	32%
Spanish Bistre	#807532	50%	46%	20%	52°	44%	35%	61%	50%
Spanish Blue	#0070B8	0%	44%	72%	203°	100%	36%	100%	72%
Spanish Carmine	#D10047	82%	0%	28%	340°	100%	41%	100%	82%
Spanish Crimson	#E51A4C	90%	10%	30%	345°	80%	50%	89%	90%
Spanish Gray	#989898	60%	60%	60%	—°	0%	60%	0%	60%
Spanish Green	#009150	0%	57%	31%	153°	100%	28%	100%	57%
Spanish Orange	#E86100	91%	38%	0%	25°	100%	45%	100%	91%
Spanish Pink	#F7BFBE	97%	75%	75%	1°	78%	86%	23%	97%
Spanish Purple	#66033C	40%	1%	24%	325°	94%	21%	97%	40%
Spanish Red	#E60026	90%	0%	15%	350°	100%	45%	100%	90%
Spanish Sky Blue	#00FFFF	0%	100%	100%	180°	100%	50%	100%	100%
Spanish Violet	#4C2882	30%	16%	51%	264°	53%	33%	69%	51%
Spanish Viridian	#007F5C	0%	50%	36%	163°	100%	25%	100%	50%
Spanish Yellow	#F6B511	96%	71%	7%	43°	93%	52%	93%	96%
Spicy Mix	#8B5f4D	55%	37%	30%	17°	29%	42%	45%	55%
Spiro Disco Ball	#0FC0FC	6%	75%	99%	195°	98%	52%	94%	99%
Spring Bud	#A7FC00	65%	99%	0%	80°	100%	49%	100%	99%
Spring Frost	#87FF2A	53%	100%	16%	94°	100%	58%	84%	100%
Spring Green	#00FF7F	0%	100%	50%	150°	100%	50%	100%	100%
Spring Green (Crayola)	#ECEBBD	93%	92%	74%	59°	55%	83%	20%	93%
Star Command Blue	#007BB8	0%	48%	72%	200°	100%	36%	100%	72%
Steel Blue	#4682B4	27%	51%	71%	207°	44%	49%	61%	71%
Steel Pink	#CC33CC	80%	20%	80%	300°	60%	50%	75%	80%
Steel Teal	#5F8A8B	37%	54%	55%	181°	19%	46%	32%	55%
Stil De Grain Yellow	#FADA5E	98%	85%	37%	48°	94%	67%	62%	98%
Stizza	#990000	60%	0%	0%	0°	100%	30%	100%	60%
Stormcloud	#4F666A	31%	40%	42%	189°	15%	36%	25%	42%
Straw	#E4D96F	89%	85%	44%	54°	68%	66%	51%	89%
Strawberry	#FC5A8D	99%	35%	55%	341°	96%	67%	64%	99%
Sugar Plum	#914E75	57%	31%	46%	325°	30%	44%	46%	57%
Sunburnt Cyclops	#FF404C	100%	25%	30%	356°	100%	63%	75%	100%
Sunglow	#FFCC33	100%	80%	20%	45°	100%	60%	80%	100%
Sunny	#F2F27A	95%	95%	48%	60°	82%	71%	50%	95%
Sunray	#E3AB57	89%	67%	34%	36°	71%	62%	62%	89%
Sunset	#FAD6A5	98%	84%	65%	35°	89%	81%	34%	98%
Sunset Orange	#FD5E53	99%	37%	33%	4°	98%	66%	67%	99%
Super Pink	#CF6BA9	81%	42%	66%	323°	51%	62%	48%	81%
Sweet Brown	#A83731	66%	22%	19%	3°	55%	43%	71%	66%
Tan	#D2B48C	82%	71%	55%	34°	44%	69%	33%	82%
Tangelo	#F94D00	98%	30%	0%	19°	100%	49%	100%	98%
Tangerine	#F28500	95%	52%	0%	33°	100%	47%	100%	95%
Tangerine Yellow	#FFCC00	100%	80%	0%	48°	100%	50%	100%	100%
Tango Pink	#E4717A	89%	44%	48%	355°	68%	67%	50%	89%
Tart Orange	#FB4D46	98%	30%	27%	2°	96%	63%	72%	98%
Taupe	#483C32	28%	24%	20%	27°	18%	24%	31%	28%
Taupe Gray	#8B8589	55%	52%	54%	320°	3%	53%	4%	55%
Tea Green	#D0F0C0	82%	94%	75%	100°	62%	85%	20%	94%
Tea Rose	#F88379	97%	51%	47%	5°	90%	72%	51%	97%
Tea Rose	#F4C2C2	96%	76%	76%	0°	69%	86%	20%	96%
Teal	#008080	0%	50%	50%	180°	100%	25%	100%	50%
Teal Blue	#367588	21%	46%	53%	194°	43%	37%	60%	53%
Teal Deer	#99E6B3	60%	90%	70%	140°	61%	75%	33%	90%
Teal Green	#00827F	0%	51%	50%	179°	100%	25%	100%	51%
Telemagenta	#CF3476	81%	20%	46%	334°	62%	51%	75%	81%
Temptress	#3C2126	24%	13%	15%	349°	29%	18%	45%	24%
Tenné (Tawny)	#CD5700	80%	34%	0%	25°	100%	40%	100%	80%
Terra Cotta	#E2725B	89%	45%	36%	10°	70%	62%	60%	89%
Thistle	#D8BFD8	85%	75%	85%	300°	24%	80%	12%	85%
Thulian Pink	#DE6FA1	87%	44%	63%	333°	63%	65%	50%	87%
Tickle Me Pink	#FC89AC	99%	54%	67%	342°	95%	76%	46%	99%
Tiffany Blue	#0ABAB5	4%	73%	71%	178°	90%	38%	95%	73%
Tiger's Eye	#E08D3C	88%	55%	24%	30°	73%	56%	73%	88%
Timberwolf	#DBD7D2	86%	84%	82%	33°	11%	84%	4%	86%
Titanium	#878681	53%	53%	51%	50°	2%	52%	4%	53%
Titanium Yellow	#EEE600	93%	90%	0%	58°	100%	47%	100%	93%
Tomato	#FF6347	100%	39%	28%	9°	100%	64%	72%	100%
Toolbox	#746CC0	45%	42%	75%	246°	40%	59%	44%	75%
Topaz	#FFC87C	100%	78%	49%	35°	100%	74%	51%	100%
Tractor Red	#FD0E35	99%	5%	21%	350°	98%	52%	94%	99%
Trolley Grey	#808080	50%	50%	50%	—°	0%	50%	0%	50%
Tropical Rain Forest	#00755E	0%	46%	37%	168°	100%	23%	100%	46%
Tropical Violet	#CDA4DE	80%	64%	87%	282°	47%	76%	26%	87%
True Blue	#0073CF	0%	45%	81%	207°	100%	41%	100%	81%
Tufts Blue	#3E8EDE	24%	56%	87%	210°	71%	56%	70.7%	87.1%
Tulip	#FF878D	100%	53%	55%	357°	100%	76%	47%	100%
Tumbleweed	#DEAA88	87%	67%	53%	24°	57%	70%	39%	87%
Turkish Rose	#B57281	71%	45%	51%	347°	31%	58%	37%	71%
Turquoise	#40E0D0	25%	88%	82%	174°	72%	56%	71%	88%
Turquoise Blue	#00FFEF	0%	100%	94%	176°	100%	50%	100%	100%
Turquoise Green	#A0D6B4	63%	84%	71%	142°	40%	73%	25%	84%
Turquoise Surf	#00C5CD	0%	77%	80%	182°	100%	40%	100%	80%
Turtle Green	#8A9A5B	54%	60%	36%	75°	26%	48%	41%	60%
Tuscan	#FAD6A5	98%	84%	65%	35°	89%	81%	34%	98%
Tuscan Brown	#6F4E37	44%	31%	22%	25°	34%	33%	50%	44%
Tuscan Red	#7C4848	49%	28%	28%	0°	27%	38%	42%	49%
Tuscan Tan	#A67B5B	65%	48%	36%	26°	30%	50%	45%	65%
Tuscany	#C09999	75%	60%	60%	0°	24%	68%	20%	75%
Twilight Lavender	#8A496B	54%	29%	42%	329°	31%	41%	47%	54%
Tyrian Purple	#66023C	40%	1%	24%	325°	96%	20%	98%	40%
UA Blue	#0033AA	0%	20%	67%	222°	100%	33%	100%	67%
UA Red	#D9004C	85%	0%	30%	339°	100%	43%	100%	85%
Ube	#8878C3	53%	47%	76%	253°	39%	62%	38%	76%
UCLA Blue	#536895	33%	41%	58%	221°	28%	46%	44%	58%
UCLA Gold	#FFB300	100%	70%	0%	42°	100%	50%	100%	100%
UE Red	#BA0001	73%	0%	0%	360°	100%	37%	100%	73%
UFO Green	#3CD070	24%	82%	44%	141°	61%	53%	71%	82%
Ultramarine	#3F00FF	7%	4%	56%	244°	87%	30%	93%	56%
Ultramarine Blue	#4166F5	25%	40%	96%	228°	90%	61%	73%	96%
Ultra Pink	#FF6FFF	100%	44%	100%	300°	100%	72%	56%	100%
Ultra Red	#FC6C85	99%	42%	52%	350°	96%	71%	57%	99%
Umber	#635147	39%	32%	28%	21°	16%	33%	28%	39%
Unbleached Silk	#FFDDCA	100%	87%	79%	22°	100%	90%	21%	100%
United Nations Blue	#5B92E5	36%	57%	90%	216°	73%	63%	60%	90%
University Of California Gold	#B78727	72%	53%	15%	40°	65%	44%	79%	72%
University Of Tennessee Orange	#F77F00	97%	50%	0%	31°	100%	48%	100%	97%
Unmellow Yellow	#FFFF66	100%	100%	40%	60°	100%	70%	60%	100%
UP Forest Green	#014421	0%	27%	13%	149°	97%	14%	99%	27%
UP Maroon	#7B1113	48%	7%	7%	359°	76%	27%	86%	48%
Upsdell Red	#AE2029	68%	13%	16%	356°	69%	40%	82%	68%
Urobilin	#E1AD21	88%	68%	13%	44°	76%	51%	85%	88%
USAFA Blue	#004F98	0%	31%	60%	209°	100%	30%	100%	60%
USC Cardinal	#990000	60%	0%	0%	0°	100%	30%	100%	60%
USC Gold	#FFCC00	100%	80%	0%	48°	100%	50%	100%	100%
Utah Crimson	#D3003F	83%	0%	25%	342°	100%	41%	100%	83%
Vampire Black	#080808	3%	3%	3%	60°	0%	3%	0%	3%
Van Dyke Brown	#664228	40%	26%	16%	25°	44%	28%	60%	0%
Vanilla	#F3E5AB	95%	90%	67%	48°	75%	81%	30%	95%
Vanilla Ice	#F38FA9	95%	56%	66%	344°	81%	76%	41%	95%
Vegas Gold	#C5B358	77%	70%	35%	50°	48%	56%	55%	77%
Venetian Red	#C80815	78%	3%	8%	356°	92%	41%	96%	78%
Verdigris	#43B3AE	26%	70%	68%	177°	46%	48%	63%	70%
Vermilion	#E34234	89%	26%	20%	5°	76%	55%	77%	89%
Vermilion	#D9381E	85%	22%	12%	8°	76%	48%	86%	85%
Veronica	#A020F0	63%	13%	94%	277°	87%	53%	87%	94%
Verse Green	#18880d	9%	53%	5%	114.6°	83%	29%	90.4%	53.3%
Very Light Azure	#74BBFB	45%	73%	98%	208°	94%	72%	54%	98%
Very Light Blue	#6666FF	40%	40%	100%	240°	100%	70%	60%	100%
Very Light Malachite Green	#64E986	39%	91%	53%	135°	75%	65%	57%	91%
Very Light Tangelo	#FFB077	100%	69%	47%	25°	100%	73%	53%	100%
Very Pale Orange	#FFDFBF	100%	87%	75%	30°	100%	88%	25%	100%
Very Pale Yellow	#FFFFBF	100%	100%	75%	60°	100%	88%	25%	100%
Violet	#8F00FF	56%	0%	100%	274°	100%	50%	100%	100%
Violet (Color Wheel)	#7F00FF	50%	0%	100%	270°	100%	50%	100%	100%
Violet (Crayola)	#963D7F	59%	24%	50%	316°	42%	41%	59%	59%
Violet (RYB)	#8601AF	53%	0%	69%	286°	99%	35%	99%	69%
Violet (Web)	#EE82EE	93%	51%	93%	300°	76%	72%	45%	93%
Violet-Blue	#324AB2	20%	29%	70%	229°	56%	45%	72%	70%
Violet-Red	#F75394	97%	33%	58%	336°	91%	65%	66%	97%
Violin Brown	#674403	40%	27%	1%	39°	94%	21%	97%	40%
Viridian	#40826D	25%	51%	43%	161°	34%	38%	51%	51%
Viridian Green	#009698	0%	59%	60%	181°	100%	30%	100%	60%
Vista Blue	#7C9ED9	49%	62%	85%	218°	55%	67%	43%	85%
Vivid Amber	#CC9900	80%	60%	0%	45°	100%	40%	100%	80%
Vivid Auburn	#922724	57%	15%	14%	2°	60%	36%	75%	57%
Vivid Burgundy	#9F1D35	62%	11%	21%	349°	69%	37%	82%	62%
Vivid Cerise	#DA1D81	85%	11%	51%	328°	77%	48%	87%	85%
Vivid Cerulean	#00AAEE	0%	67%	93%	197°	100%	47%	100%	93%
Vivid Crimson	#CC0033	80%	0%	20%	345°	100%	40%	100%	80%
Vivid Gamboge	#FF9900	100%	60%	0%	36°	100%	50%	100%	100%
Vivid Lime Green	#A6D608	65%	84%	3%	74°	93%	44%	96%	84%
Vivid Malachite	#00CC33	0%	80%	20%	135°	100%	40%	100%	80%
Vivid Mulberry	#B80CE3	72%	5%	89%	288°	90%	47%	95%	89%
Vivid Orange	#FF5F00	100%	37%	0%	22°	100%	50%	100%	100%
Vivid Orange Peel	#FFA000	100%	63%	0%	18°	100%	50%	100%	100%
Vivid Orchid	#CC00FF	80%	0%	100%	288°	100%	50%	100%	100%
Vivid Raspberry	#FF006C	100%	0%	42%	335°	100%	50%	100%	100%
Vivid Red	#F70D1A	97%	5%	10%	357°	94%	51%	95%	97%
Vivid Red-Tangelo	#DF6124	87%	38%	14%	20°	75%	51%	84%	87%
Vivid Sky Blue	#00CCFF	0%	80%	100%	192°	100%	50%	100%	100%
Vivid Tangelo	#F07427	94%	45%	15%	23°	87%	55%	84%	94%
Vivid Tangerine	#FFA089	100%	63%	54%	12°	100%	77%	46%	100%
Vivid Vermilion	#E56024	90%	38%	14%	19°	79%	52%	84%	90%
Vivid Violet	#9F00FF	62%	0%	100%	277°	100%	50%	100%	100%
Vivid Yellow	#FFE302	100%	89%	1%	53°	100%	50%	99%	100%
Volt	#CEFF00	80%	100%	0%	72°	100%	50%	100%	100%
Wageningen Green	#34B233	20%	70%	20%	120°	56%	45%	71%	70%
Warm Black	#004242	0%	26%	26%	180°	100%	13%	100%	25%
Watermelon	#F05C85	94%	36%	52%	343°	83%	65%	62%	94%
Watermelon Red	#BF4147	75%	25%	28%	357°	49%	50%	66%	75%
Waterspout	#A4F4F9	64%	96%	98%	184°	88%	81%	34%	98%
Weldon Blue	#7C98AB	49%	60%	67%	204°	22%	58%	28%	67%
Wenge	#645452	39%	33%	32%	7°	10%	36%	18%	39%
Wheat	#F5DEB3	96%	87%	70%	39°	77%	83%	27%	96%
